#Time, day	pH	U	acetate	sulfate
0.00	7.129	0.0120101	0.0000000	1.0884847
0.76	-1.000	0.0121105	-1.000	-1.000
6.77	7.141	0.0129145	0.0000000	1.1039673
15.58	7.049	0.0141630	0.0000000	1.1410735
21.96	7.065	0.0142450	0.0000000	1.1314010
28.58	-1.000	0.0149668	0.0000000	1.1576735
35.90	7.066	0.0153217	0.0000000	1.1465357
40.97	-1.000	0.0151575	-1.000	-1.000
44.88	7.009	0.0155829	0.0000000	1.1381745
51.84	6.968	0.0154393	0.0000000	1.1540367
54.96	-1.000	0.0157197	-1.000	-1.000
61.89	6.971	0.0155529	0.0000000	1.1584194
70.05	6.992	0.0155893	0.0000000	1.1671184
77.72	6.992	0.0155431	0.0000000	1.1706112
87.79	6.898	0.0156849	0.0000000	1.1192296
97.79	6.982	0.0158067	0.0000000	1.1329449
108.79	-1.000	0.0167420	0.0000000	1.1196684
118.79	6.985	0.0162269	0.0000000	1.1326908
182.25	-1.000	0.0162461	0.0000000	1.0402041
416.25	-1.000	0.0215117	-1.000	-1.000
