#%	8-1	Ethanol 1		
#%t (day)	pH	U	Acetate	Sulfate
0.00	7.185	0.0000147	0.000000	0.001070
1.14	-10.000	0.0000152	0.000000	0.001068
6.97	6.851	0.0000136	0.001248	0.000918
9.24	6.894	0.0000119	0.003612	0.000645
12.09	6.723	0.0000055	0.005841	0.000375
15.18	6.691	0.0000004	0.007780	0.000000
17.24	6.759	0.0000003	0.007819	0.000000
21.03	6.879	0.0000001	0.007585	0.000000
29.10	6.963	0.0000002	0.006537	0.000000
37.27	7.089	0.0000003	0.003577	0.000000
44.94	7.031	0.0000005	0.000642	0.000000
55.01	7.106	0.0000006	0.000075	0.000000
65.01	-10.000	0.0000007	0.000035	0.000000
76.01	-10.000	0.0000004	0.000293	0.000000
86.01	7.021	0.0000004	0.000000	0.000000
149.47	-10.000	0.0000004	0.000000	0.000000
180.00	-10.000	0.0000004	0.000000	0.000000
