#%EVO + 1 mM	5-1	5-1	5-1	5-1
#%t (day)	pH	U	Acetate	Sulfate
0.00	7.200	0.0000131	0.000000	0.001186
0.76	7.199	0.0000137	-10.000000	-10.000000
6.77	7.106	0.0000136	0.000033	0.001161
15.58	-10.000	0.0000146	0.000038	0.000952
21.96	7.134	0.0000138	0.000000	0.000649
28.58	7.072	0.0000125	0.000085	0.000148
35.90	7.086	0.0000087	0.000243	0.000003
40.97	7.084	0.0000064	-10.000000	-10.000000
44.88	7.060	0.0000049	0.000357	0.000002
51.84	7.060	0.0000022	0.000516	0.000003
54.96	7.026	0.0000018	-10.000000	-10.000000
61.89	6.941	0.0000014	0.000698	0.000000
70.05	6.961	0.0000011	0.000881	0.000003
77.72	-10.000	0.0000011	0.001094	0.000004
87.79	-10.000	0.0000008	0.001182	0.000000
97.79	-10.000	0.0000008	0.001426	0.000000
108.79	-10.000	0.0000006	0.001301	0.000000
118.79	-10.000	0.0000007	0.000429	0.000000
182.25	-10.000	0.0000009	0.000046	0.000000
416.25	-10.000	0.0000011	-10.000	-10.000
