#%	6-1	6-1	6-1	6-1
#%t (day)	pH	U	Acetate	Sulfate
0.00	7.174	0.0000124	0.000000	0.001156
0.76	7.178	0.0000131	-10.000	-10.000
6.77	7.082	0.0000134	0.000050	0.001120
15.58	-10.000	0.0000138	0.000000	0.000816
21.96	7.167	0.0000138	0.000000	0.000558
28.58	7.013	0.0000120	0.000000	0.000187
35.90	7.081	0.0000073	0.000277	0.000006
40.97	7.081	0.0000027	-10.000	-10.000
44.88	7.065	0.0000010	0.000484	0.000002
51.84	7.050	0.0000007	0.000666	0.000000
54.96	7.000	0.0000007	-10.000	-10.000
61.89	6.939	0.0000007	0.001003	0.000003
70.05	6.913	0.0000006	0.001257	0.000000
77.72	-10.000	0.0000006	0.001581	0.000000
87.79	-10.000	0.0000004	0.001924	0.000000
97.79	-10.000	0.0000003	0.002493	0.000000
108.79	-10.000	0.0000002	0.003052	0.000000
118.79	-10.000	0.0000002	0.003212	0.000000
182.25	-10.000	0.0000007	0.000307	0.000079
416.25	-10.000	0.0000008	-10.000	-10.000
