#%		7-1	7-1	7-1
#%t (day)	pH	U	Acetate	Sulfate
0.00	7.233	0.0000195	0.000000	0.004833
0.76	7.252	0.0000209	-10.000	-10.000
6.77	7.16	0.0000209	0.000000	0.004696
15.58	-10.000	0.0000206	0.000000	0.004270
21.96	7.242	0.0000192	0.000000	0.003783
28.58	7.218	0.0000175	0.000000	0.003316
35.90	7.204	0.0000127	0.000144	0.002303
40.97	7.235	0.0000117	-10.000	-10.000
44.88	7.245	0.0000107	0.000482	0.000571
51.84	7.276	0.0000083	0.000922	0.000038
54.96	7.201	0.0000055	-10.000	-10.000
61.89	7.17	0.0000022	0.001163	0.000000
70.05	7.173	0.0000012	0.001283	0.000004
77.72	-10.000	0.0000013	0.001561	0.000004
87.79	-10.000	0.0000010	0.003173	0.000000
97.79	-10.000	0.0000010	0.002231	0.000003
108.79	-10.000	0.0000011	0.002102	0.000000
118.79	-10.000	0.0000011	0.001541	0.000000
182.25	-10.000	0.0000014	0.000142	0.000092
416.25	-10.000	0.0000019	-10.000	-10.000
