#%Oleate	2-1	2-1	2-1	2-1
#%t (day)	pH	U	Acetate	Sulfate
0.00	6.988	0.0000145	0.000000	0.001106
1.14	-10.000	0.0000143	0.000000	0.001096
6.97	6.881	0.0000143	0.000000	0.001087
9.24	7.067	0.0000147	0.000000	0.001072
12.09	6.994	0.0000135	0.000764	0.000749
15.18	-1.000	-1.000	-1.000	-1.000
17.24	6.959	0.0000111	0.001985	0.000097
21.03	6.988	0.0000093	0.002052	0.000000
29.10	7.117	0.0000045	0.002118	0.000000
37.27	7.122	0.0000017	0.002127	0.000000
44.94	7.031	0.0000013	0.002221	0.000000
55.01	7.021	0.0000008	0.002074	0.000000
65.01	7.000	0.0000007	0.002101	0.000000
76.01	-10.000	0.0000006	0.002474	0.000000
86.01	6.951	0.0000005	0.003086	0.000000
149.47	-10.000	0.0000011	0.000303	0.000000
180.00	-10.000	0.0000009	0.000000	0.000000
