#%Oleate	2-2	2-2	2-2	2-2
#%t (day)	pH	U	Acetate	Sulfate
0.00	7.068	0.0000148	0.000000	0.001115
1.14	-10.000	0.0000141	0.000000	0.001102
6.97	6.917	0.0000144	0.000000	0.001103
9.24	7.086	0.0000144	0.000000	0.001094
12.09	7.012	0.0000146	0.000138	0.001030
15.18	-1.000	-1.000	-1.000	-1.000
17.24	6.951	0.0000125	0.002502	0.000225
21.03	6.960	0.0000098	0.002630	0.000000
29.10	7.036	0.0000046	0.002363	0.000000
37.27	7.031	0.0000018	0.002534	0.000000
44.94	7.028	0.0000009	0.002555	0.000000
55.01	6.992	0.0000006	0.002318	0.000000
65.01	6.987	0.0000006	0.002312	0.000000
76.01	-10.000	0.0000006	0.002281	0.000000
86.01	7.014	0.0000006	0.002154	0.000000
149.47	-10.000	0.0000008	0.000247	0.000000
180.00	-10.000	0.0000008	0.000000	0.000000
