#%Oleate + 4 mM	3-2	3-2	3-2	3-2
#%t (day)	pH	U	Acetate	Sulfate
0.00	7.141	0.0000231	0.000000	0.004845
1.14	-10.000	0.0000214	0.000000	0.004770
6.97	6.999	0.0000218	0.000000	0.004771
9.24	7.127	0.0000226	0.000000	0.004782
12.09	7.023	0.0000209	0.000559	0.004576
15.18	-1.000	-1.000	-1.000	-1.000
17.24	6.922	0.0000138	0.004603	0.002917
21.03	6.925	0.0000073	0.006662	0.001954
29.10	6.994	0.0000024	0.007058	0.001031
37.27	7.089	0.0000013	0.006633	0.000392
44.94	7.160	0.0000011	0.006303	0.000039
55.01	7.112	0.0000010	0.005461	0.000000
65.01	7.130	0.0000013	0.005723	0.000000
76.01	-10.000	0.0000012	0.005461	0.000000
86.01	7.142	0.0000013	0.005252	0.000000
149.47	-10.000	0.0000019	0.000596	0.000000
180.00	-10.000	0.0000025	0.000000	0.000000
