#%Oleate + 8 mM	4-1	4-1	4-1	4-1
#%t (day)	pH	U	Acetate	Sulfate
0.00	7.199	0.0000276	0.000000	0.008594
1.14	-10.000	0.0000270	0.000000	0.008658
6.97	7.037	0.0000272	0.000014	0.008631
9.24	7.155	0.0000273	0.000365	0.008438
12.09	7.089	0.0000258	0.002168	0.007516
15.18	-1.000	-1.000	-1.000	-1.000
17.24	7.031	0.0000087	0.005069	0.005541
21.03	7.106	0.0000046	0.005557	0.004246
29.10	7.283	0.0000039	0.004044	0.002155
37.27	7.423	0.0000045	0.002064	0.000696
44.94	7.476	0.0000051	0.001239	0.000120
55.01	7.445	0.0000048	0.000994	0.000013
65.01	7.452	0.0000044	0.000969	0.000006
76.01	-10.000	0.0000039	0.000952	0.000000
86.01	7.473	0.0000041	0.000969	0.000000
149.47	-10.000	0.0000027	0.000100	0.000000
180.00	-10.000	0.0000023	0.000000	0.000000
